IP:PORT, LOSS, DELAY
188.114.99.169:500,0.00%,6 ms
188.114.96.73:2408,0.00%,6 ms
188.114.99.180:500,0.00%,6 ms
188.114.98.201:4500,0.00%,6 ms
188.114.99.203:500,0.00%,6 ms
188.114.97.63:500,0.00%,6 ms
188.114.98.5:4500,0.00%,6 ms
188.114.99.207:2408,0.00%,6 ms
188.114.97.68:2408,0.00%,6 ms
188.114.98.180:4500,0.00%,6 ms
188.114.99.190:500,0.00%,6 ms
188.114.96.142:500,0.00%,7 ms
188.114.98.190:4500,0.00%,7 ms
188.114.99.171:500,0.00%,7 ms
188.114.97.231:500,0.00%,7 ms
188.114.97.203:500,0.00%,7 ms
188.114.97.42:500,0.00%,7 ms
188.114.99.4:2408,0.00%,7 ms
188.114.96.140:4500,0.00%,7 ms
188.114.96.93:4500,0.00%,7 ms
188.114.99.158:500,0.00%,7 ms
188.114.99.1:4500,0.00%,7 ms
188.114.98.20:500,0.00%,7 ms
188.114.96.141:500,0.00%,7 ms
188.114.97.69:4500,0.00%,7 ms
188.114.99.171:2408,0.00%,7 ms
188.114.96.138:500,0.00%,7 ms
188.114.96.142:2408,0.00%,7 ms
188.114.99.5:4500,0.00%,7 ms
188.114.99.0:2408,0.00%,7 ms
188.114.98.203:4500,0.00%,7 ms
188.114.96.120:2408,0.00%,7 ms
188.114.97.4:2408,0.00%,7 ms
188.114.97.6:2408,0.00%,7 ms
188.114.96.120:500,0.00%,7 ms
188.114.96.91:2408,0.00%,7 ms
188.114.96.115:2408,0.00%,7 ms
188.114.96.132:500,0.00%,7 ms
188.114.98.202:4500,0.00%,7 ms
188.114.99.234:4500,0.00%,7 ms
188.114.99.5:2408,0.00%,7 ms
188.114.98.10:4500,0.00%,7 ms
188.114.97.235:2408,0.00%,7 ms
188.114.96.142:4500,0.00%,7 ms
188.114.97.194:2408,0.00%,7 ms
188.114.97.206:2408,0.00%,7 ms
188.114.99.157:500,0.00%,7 ms
188.114.99.158:2408,0.00%,7 ms
188.114.97.92:2408,0.00%,7 ms
188.114.96.144:4500,0.00%,7 ms
188.114.97.30:4500,0.00%,7 ms
188.114.96.135:500,0.00%,7 ms
188.114.99.172:2408,0.00%,7 ms
188.114.97.155:2408,0.00%,7 ms
188.114.99.2:4500,0.00%,7 ms
188.114.98.19:4500,0.00%,7 ms
188.114.99.4:4500,0.00%,7 ms
188.114.99.5:500,0.00%,7 ms
188.114.96.119:4500,0.00%,7 ms
188.114.98.137:4500,0.00%,7 ms
188.114.99.143:2408,0.00%,7 ms
188.114.99.238:4500,0.00%,7 ms
188.114.99.188:500,0.00%,7 ms
188.114.99.189:500,0.00%,7 ms
188.114.96.145:500,0.00%,7 ms
188.114.98.88:4500,0.00%,7 ms
188.114.98.94:2408,0.00%,7 ms
188.114.97.20:4500,0.00%,7 ms
188.114.96.144:500,0.00%,7 ms
188.114.96.155:2408,0.00%,7 ms
188.114.99.193:2408,0.00%,7 ms
188.114.99.170:500,0.00%,7 ms
188.114.96.136:500,0.00%,7 ms
188.114.97.62:4500,0.00%,7 ms
188.114.96.126:500,0.00%,7 ms
188.114.98.95:500,0.00%,7 ms
188.114.99.170:2408,0.00%,7 ms
188.114.99.160:4500,0.00%,7 ms
188.114.97.162:2408,0.00%,7 ms
188.114.97.206:4500,0.00%,7 ms
188.114.99.0:500,0.00%,7 ms
188.114.96.71:1701,0.00%,7 ms
188.114.99.240:2408,0.00%,7 ms
188.114.99.1:2408,0.00%,7 ms
188.114.97.209:2408,0.00%,7 ms
188.114.97.236:1701,0.00%,7 ms
188.114.97.57:4500,0.00%,7 ms
188.114.97.234:2408,0.00%,7 ms
188.114.97.169:500,0.00%,7 ms
188.114.97.156:4500,0.00%,7 ms
188.114.96.113:500,0.00%,7 ms
188.114.97.236:2408,0.00%,7 ms
188.114.97.181:4500,0.00%,7 ms
188.114.99.244:500,0.00%,7 ms
188.114.98.24:2408,0.00%,7 ms
188.114.96.99:2408,0.00%,7 ms
188.114.97.96:500,0.00%,7 ms
188.114.97.83:2408,0.00%,7 ms
188.114.96.156:2408,0.00%,7 ms
188.114.99.177:4500,0.00%,7 ms
188.114.97.170:500,0.00%,7 ms
188.114.96.98:2408,0.00%,7 ms
188.114.99.6:2408,0.00%,7 ms
188.114.96.90:1701,0.00%,7 ms
188.114.97.181:1701,0.00%,7 ms
188.114.97.55:500,0.00%,7 ms
188.114.99.156:500,0.00%,7 ms
188.114.98.169:2408,0.00%,7 ms
188.114.99.236:4500,0.00%,7 ms
188.114.99.184:2408,0.00%,7 ms
188.114.99.197:500,0.00%,7 ms
188.114.98.202:2408,0.00%,7 ms
188.114.96.123:500,0.00%,7 ms
188.114.96.146:2408,0.00%,7 ms
188.114.97.233:500,0.00%,7 ms
188.114.99.187:500,0.00%,7 ms
188.114.97.161:2408,0.00%,7 ms
188.114.97.46:1701,0.00%,7 ms
188.114.97.207:500,0.00%,7 ms
188.114.96.98:500,0.00%,7 ms
188.114.99.176:2408,0.00%,7 ms
188.114.99.246:4500,0.00%,7 ms
188.114.96.145:4500,0.00%,7 ms
188.114.96.92:500,0.00%,7 ms
188.114.97.221:4500,0.00%,7 ms
188.114.96.152:2408,0.00%,7 ms
188.114.96.151:500,0.00%,7 ms
188.114.98.84:1701,0.00%,7 ms
188.114.97.32:1701,0.00%,7 ms
188.114.99.2:500,0.00%,7 ms
188.114.97.182:2408,0.00%,7 ms
188.114.99.2:2408,0.00%,7 ms
188.114.96.116:1701,0.00%,7 ms
188.114.99.155:500,0.00%,7 ms
188.114.96.83:2408,0.00%,7 ms
188.114.99.166:2408,0.00%,7 ms
188.114.97.248:1701,0.00%,7 ms
188.114.99.160:2408,0.00%,7 ms
188.114.99.235:1701,0.00%,7 ms
188.114.97.194:1701,0.00%,7 ms
188.114.99.173:2408,0.00%,7 ms
188.114.97.91:4500,0.00%,7 ms
188.114.97.211:4500,0.00%,7 ms
188.114.99.4:1701,0.00%,7 ms
188.114.96.135:1701,0.00%,7 ms
188.114.99.188:1701,0.00%,7 ms
188.114.97.3:500,0.00%,7 ms
188.114.96.99:500,0.00%,7 ms
188.114.98.24:4500,0.00%,7 ms
188.114.99.164:500,0.00%,7 ms
188.114.97.247:500,0.00%,7 ms
188.114.98.0:2408,0.00%,7 ms
188.114.96.139:500,0.00%,7 ms
188.114.96.161:500,0.00%,7 ms
188.114.99.159:500,0.00%,7 ms
188.114.97.244:500,0.00%,7 ms
188.114.97.176:2408,0.00%,7 ms
188.114.99.157:1701,0.00%,8 ms
188.114.99.189:4500,0.00%,8 ms
188.114.99.78:500,0.00%,8 ms
188.114.99.88:1701,0.00%,8 ms
188.114.98.127:500,0.00%,8 ms
188.114.97.254:2408,0.00%,8 ms
188.114.97.83:500,0.00%,8 ms
188.114.96.152:4500,0.00%,8 ms
188.114.97.169:4500,0.00%,8 ms
188.114.99.196:500,0.00%,8 ms
188.114.96.124:4500,0.00%,8 ms
188.114.99.145:500,0.00%,8 ms
188.114.99.161:500,0.00%,8 ms
188.114.97.207:1701,0.00%,8 ms
188.114.97.236:500,0.00%,8 ms
188.114.96.83:1701,0.00%,8 ms
188.114.99.174:500,0.00%,8 ms
188.114.97.97:4500,0.00%,8 ms
188.114.96.99:1701,0.00%,8 ms
188.114.99.196:2408,0.00%,8 ms
188.114.99.246:1701,0.00%,8 ms
188.114.96.100:500,0.00%,8 ms
188.114.97.36:4500,0.00%,8 ms
188.114.96.97:500,0.00%,8 ms
188.114.96.131:1701,0.00%,8 ms
188.114.96.96:2408,0.00%,8 ms
188.114.96.71:500,0.00%,8 ms
188.114.98.182:4500,0.00%,8 ms
188.114.98.99:500,0.00%,8 ms
188.114.96.105:2408,0.00%,8 ms
188.114.98.212:4500,0.00%,8 ms
188.114.98.17:500,0.00%,8 ms
188.114.98.112:2408,0.00%,8 ms
188.114.97.9:1701,0.00%,8 ms
188.114.98.149:4500,0.00%,8 ms
188.114.96.239:500,0.00%,8 ms
188.114.96.135:2408,0.00%,8 ms
188.114.97.21:4500,0.00%,8 ms
188.114.97.231:1701,0.00%,8 ms
188.114.97.156:2408,0.00%,8 ms
188.114.96.102:500,0.00%,8 ms
188.114.97.42:1701,0.00%,8 ms
188.114.99.56:500,0.00%,8 ms
188.114.99.169:2408,0.00%,8 ms
188.114.96.91:1701,0.00%,8 ms
188.114.99.180:4500,0.00%,8 ms
188.114.97.164:4500,0.00%,8 ms
188.114.99.148:2408,0.00%,8 ms
188.114.99.6:1701,0.00%,8 ms
188.114.99.165:500,0.00%,8 ms
188.114.99.206:2408,0.00%,8 ms
188.114.98.110:500,0.00%,8 ms
188.114.99.144:500,0.00%,8 ms
188.114.96.101:500,0.00%,8 ms
188.114.97.92:500,0.00%,8 ms
188.114.96.148:500,0.00%,8 ms
188.114.97.32:2408,0.00%,8 ms
188.114.97.54:500,0.00%,8 ms
188.114.97.33:500,0.00%,8 ms
188.114.98.255:4500,0.00%,8 ms
188.114.99.194:500,0.00%,8 ms
188.114.97.35:2408,0.00%,8 ms
188.114.96.130:4500,0.00%,8 ms
188.114.97.255:4500,0.00%,8 ms
188.114.98.154:500,0.00%,8 ms
188.114.99.1:1701,0.00%,8 ms
188.114.97.211:2408,0.00%,8 ms
188.114.96.146:500,0.00%,8 ms
188.114.98.150:4500,0.00%,8 ms
188.114.99.183:500,0.00%,8 ms
188.114.97.230:4500,0.00%,8 ms
188.114.96.125:4500,0.00%,8 ms
188.114.99.150:2408,0.00%,8 ms
188.114.99.152:500,0.00%,8 ms
188.114.98.186:4500,0.00%,8 ms
188.114.97.238:500,0.00%,8 ms
188.114.96.117:2408,0.00%,8 ms
188.114.99.187:4500,0.00%,8 ms
188.114.98.78:2408,0.00%,8 ms
188.114.99.142:2408,0.00%,8 ms
188.114.99.195:2408,0.00%,8 ms
188.114.96.140:1701,0.00%,8 ms
188.114.99.247:500,0.00%,8 ms
188.114.98.255:2408,0.00%,8 ms
188.114.97.95:2408,0.00%,8 ms
188.114.99.8:500,0.00%,8 ms
188.114.99.204:2408,0.00%,8 ms
188.114.99.198:500,0.00%,8 ms
188.114.97.91:2408,0.00%,8 ms
188.114.98.164:4500,0.00%,8 ms
188.114.99.166:500,0.00%,8 ms
188.114.98.187:1701,0.00%,8 ms
188.114.96.75:4500,0.00%,8 ms
188.114.99.175:2408,0.00%,8 ms
188.114.97.154:2408,0.00%,8 ms
188.114.96.133:500,0.00%,8 ms
188.114.96.104:2408,0.00%,8 ms
188.114.98.177:4500,0.00%,8 ms
188.114.97.224:2408,0.00%,8 ms
188.114.96.240:1701,0.00%,8 ms
188.114.97.92:1701,0.00%,8 ms
188.114.99.2:1701,0.00%,8 ms
188.114.96.104:500,0.00%,8 ms
188.114.99.5:1701,0.00%,8 ms
188.114.99.175:500,0.00%,8 ms
188.114.97.35:1701,0.00%,8 ms
188.114.98.123:2408,0.00%,8 ms
188.114.97.92:4500,0.00%,8 ms
188.114.97.28:1701,0.00%,8 ms
188.114.99.165:2408,0.00%,8 ms
188.114.96.89:1701,0.00%,8 ms
188.114.99.143:500,0.00%,8 ms
188.114.98.0:4500,0.00%,8 ms
188.114.99.61:2408,0.00%,8 ms
188.114.99.197:2408,0.00%,8 ms
188.114.96.122:4500,0.00%,8 ms
188.114.98.140:500,0.00%,8 ms
188.114.98.170:1701,0.00%,8 ms
188.114.96.99:4500,0.00%,8 ms
188.114.97.21:500,0.00%,8 ms
188.114.99.146:2408,0.00%,8 ms
188.114.98.133:4500,0.00%,8 ms
188.114.96.81:1701,0.00%,8 ms
188.114.99.154:4500,0.00%,8 ms
188.114.97.154:500,0.00%,8 ms
188.114.99.163:2408,0.00%,8 ms
188.114.97.63:2408,0.00%,8 ms
188.114.99.147:500,0.00%,8 ms
188.114.99.190:4500,0.00%,8 ms
188.114.97.161:1701,0.00%,8 ms
188.114.98.142:1701,0.00%,8 ms
188.114.96.134:2408,0.00%,8 ms
188.114.97.207:2408,0.00%,8 ms
188.114.97.97:2408,0.00%,8 ms
188.114.98.168:1701,0.00%,8 ms
188.114.97.255:2408,0.00%,8 ms
188.114.99.149:2408,0.00%,8 ms
188.114.99.7:4500,0.00%,8 ms
188.114.99.196:1701,0.00%,8 ms
188.114.96.102:1701,0.00%,8 ms
188.114.97.240:1701,0.00%,8 ms
188.114.99.149:500,0.00%,8 ms
188.114.97.63:1701,0.00%,8 ms
188.114.99.175:4500,0.00%,8 ms
188.114.99.3:1701,0.00%,8 ms
188.114.99.164:2408,0.00%,8 ms
188.114.96.213:500,0.00%,8 ms
188.114.96.162:500,0.00%,8 ms
188.114.97.194:4500,0.00%,8 ms
188.114.96.240:500,0.00%,8 ms
188.114.99.233:500,0.00%,8 ms
188.114.98.253:4500,0.00%,8 ms
188.114.96.76:2408,0.00%,8 ms
188.114.99.142:1701,0.00%,8 ms
188.114.99.145:4500,0.00%,8 ms
188.114.99.238:1701,0.00%,8 ms
188.114.96.103:2408,0.00%,9 ms
188.114.97.150:500,0.00%,9 ms
188.114.99.206:4500,0.00%,9 ms
188.114.96.96:500,0.00%,9 ms
188.114.99.205:1701,0.00%,9 ms
188.114.96.149:1701,0.00%,9 ms
188.114.97.182:4500,0.00%,9 ms
188.114.99.186:4500,0.00%,9 ms
188.114.99.154:2408,0.00%,9 ms
188.114.96.159:2408,0.00%,9 ms
188.114.98.250:4500,0.00%,9 ms
188.114.96.157:500,0.00%,9 ms
188.114.99.172:500,0.00%,9 ms
188.114.99.151:500,0.00%,9 ms
188.114.97.151:1701,0.00%,9 ms
188.114.96.107:500,0.00%,9 ms
188.114.99.201:1701,0.00%,9 ms
188.114.99.149:1701,0.00%,9 ms
188.114.96.103:500,0.00%,9 ms
188.114.99.148:4500,0.00%,9 ms
188.114.99.176:500,0.00%,9 ms
188.114.99.200:1701,0.00%,9 ms
188.114.99.194:2408,0.00%,9 ms
188.114.98.84:4500,0.00%,9 ms
188.114.98.105:500,0.00%,9 ms
188.114.99.194:1701,0.00%,9 ms
188.114.97.32:4500,0.00%,9 ms
188.114.97.59:1701,0.00%,9 ms
188.114.99.163:500,0.00%,9 ms
188.114.98.206:1701,0.00%,9 ms
188.114.98.28:2408,0.00%,9 ms
188.114.99.198:2408,0.00%,9 ms
188.114.96.104:1701,0.00%,9 ms
188.114.99.167:2408,0.00%,9 ms
188.114.97.29:4500,0.00%,9 ms
188.114.99.151:2408,0.00%,9 ms
188.114.96.126:1701,0.00%,9 ms
188.114.99.182:4500,0.00%,9 ms
188.114.99.197:1701,0.00%,9 ms
188.114.96.96:1701,0.00%,9 ms
188.114.98.166:500,0.00%,9 ms
188.114.97.3:2408,0.00%,9 ms
188.114.99.197:4500,0.00%,9 ms
188.114.97.64:1701,0.00%,9 ms
188.114.99.152:2408,0.00%,9 ms
188.114.98.123:500,0.00%,9 ms
188.114.98.245:4500,0.00%,9 ms
188.114.99.162:2408,0.00%,9 ms
188.114.96.165:500,0.00%,9 ms
188.114.98.79:500,0.00%,9 ms
188.114.96.172:500,0.00%,9 ms
188.114.99.168:2408,0.00%,9 ms
188.114.99.144:2408,0.00%,9 ms
188.114.98.85:1701,0.00%,9 ms
188.114.96.166:2408,0.00%,9 ms
188.114.98.88:1701,0.00%,9 ms
188.114.99.174:2408,0.00%,9 ms
188.114.99.159:2408,0.00%,9 ms
188.114.96.106:500,0.00%,9 ms
188.114.96.170:2408,0.00%,9 ms
188.114.96.159:500,0.00%,9 ms
188.114.99.229:2408,0.00%,9 ms
188.114.98.207:4500,0.00%,9 ms
188.114.98.160:4500,0.00%,9 ms
188.114.99.155:2408,0.00%,9 ms
188.114.97.143:4500,0.00%,9 ms
188.114.98.34:500,0.00%,9 ms
188.114.96.106:4500,0.00%,9 ms
